GEOID,County,S1901_C01_001E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,Median_Household_Income,S1901_C01_013E,S1901_C01_014E,S1901_C01_015E,S1901_C01_016E
0500000US53061,"Snohomish County, Washington",293823,3.4,2.4,5.4,5.5,9.4,16.5,15.2,21.3,10.9,10.0,86691,105008,31.5,(X),(X)
0500000US53063,"Spokane County, Washington",202811,6.3,4.2,9.4,10.0,14.4,18.4,13.7,13.6,5.6,4.4,56904,76487,30.7,(X),(X)
0500000US53065,"Stevens County, Washington",17554,7.4,5.6,10.7,10.7,13.7,20.1,12.9,11.5,4.0,3.5,51775,66675,36.8,(X),(X)
0500000US53067,"Thurston County, Washington",109983,4.6,3.2,7.0,6.8,11.9,18.4,16.1,18.6,7.3,6.0,72003,87696,30.9,(X),(X)
0500000US53069,"Wahkiakum County, Washington",1897,6.7,2.3,10.2,16.1,10.2,21.0,8.3,18.0,2.3,5.0,53227,71637,36.8,(X),(X)
0500000US53071,"Walla Walla County, Washington",22646,6.6,5.2,8.3,9.8,14.0,18.5,11.8,15.7,5.7,4.3,57858,76351,33.3,(X),(X)
0500000US53073,"Whatcom County, Washington",86523,6.4,4.1,7.9,9.1,11.9,19.0,14.6,15.4,6.9,4.9,62984,80590,30.3,(X),(X)
0500000US53075,"Whitman County, Washington",17999,14.7,6.1,13.3,10.0,12.0,15.4,10.5,10.6,3.8,3.7,42745,60706,31.6,(X),(X)
0500000US53077,"Yakima County, Washington",83048,5.6,4.6,10.8,10.7,16.5,20.2,13.2,11.3,3.9,3.2,51637,69036,34.2,(X),(X)
0500000US54001,"Barbour County, West Virginia",6324,8.4,6.4,20.1,11.7,14.2,16.1,8.5,8.0,5.2,1.4,38459,56827,33.0,(X),(X)
0500000US54003,"Berkeley County, West Virginia",44221,4.6,3.5,7.5,9.7,12.7,21.4,14.9,16.9,5.4,3.2,62515,75914,30.1,(X),(X)
0500000US54005,"Boone County, West Virginia",8932,10.2,7.2,15.1,12.0,15.0,17.3,11.7,8.4,2.0,1.2,40739,52513,39.7,(X),(X)
0500000US54007,"Braxton County, West Virginia",5624,8.6,6.7,14.5,11.9,16.2,17.1,10.4,10.5,2.6,1.4,41466,54597,37.6,(X),(X)
0500000US54009,"Brooke County, West Virginia",9805,7.0,4.8,11.8,10.7,14.6,18.7,17.4,11.1,2.8,1.1,51496,60771,34.2,(X),(X)
0500000US54011,"Cabell County, West Virginia",39064,13.0,7.8,13.1,11.7,13.4,16.0,9.3,9.2,3.1,3.3,40028,58832,32.0,(X),(X)
0500000US54013,"Calhoun County, West Virginia",2826,9.0,8.4,18.3,11.4,15.9,18.3,7.9,6.6,2.0,2.3,38382,50297,27.3,(X),(X)
0500000US54015,"Clay County, West Virginia",3274,11.7,10.0,16.6,11.7,19.7,10.7,10.2,7.3,1.7,0.4,35024,45212,25.1,(X),(X)
0500000US54017,"Doddridge County, West Virginia",2685,3.7,4.8,15.4,12.0,17.8,15.8,12.3,11.6,3.5,3.1,45545,65148,28.2,(X),(X)
0500000US54019,"Fayette County, West Virginia",17441,9.5,6.5,15.1,12.0,15.5,18.5,11.6,7.5,2.5,1.2,41394,52802,33.0,(X),(X)
0500000US54021,"Gilmer County, West Virginia",2587,11.0,7.3,13.9,10.2,14.2,18.7,12.6,9.8,2.0,0.3,42636,51440,33.7,(X),(X)
0500000US54023,"Grant County, West Virginia",4607,6.6,6.6,12.9,16.0,13.0,19.8,12.2,10.2,1.3,1.6,42216,54776,34.4,(X),(X)
0500000US54025,"Greenbrier County, West Virginia",15188,9.3,5.2,15.2,14.7,16.5,16.6,9.9,8.8,2.4,1.5,40200,55104,25.3,(X),(X)
0500000US54027,"Hampshire County, West Virginia",9288,6.3,4.9,12.8,13.4,14.8,22.2,11.3,10.3,3.2,0.9,47857,58075,29.4,(X),(X)
0500000US54029,"Hancock County, West Virginia",12678,6.3,6.3,13.1,12.0,17.6,19.1,10.3,10.9,2.2,2.2,45763,58679,32.7,(X),(X)
0500000US54031,"Hardy County, West Virginia",5674,3.7,4.3,12.8,11.4,19.9,19.0,13.6,11.3,1.2,2.8,47438,66790,38.8,(X),(X)
0500000US54033,"Harrison County, West Virginia",27098,6.9,5.0,12.0,9.3,14.3,16.1,12.7,15.2,5.0,3.4,53022,70609,25.5,(X),(X)
0500000US54035,"Jackson County, West Virginia",11334,10.6,5.9,11.2,10.6,13.7,18.1,11.1,12.2,3.2,3.4,47837,62359,43.0,(X),(X)
0500000US54037,"Jefferson County, West Virginia",20891,4.0,3.2,7.1,6.4,9.5,16.7,12.6,22.3,8.7,9.3,80430,96911,33.7,(X),(X)
0500000US54039,"Kanawha County, West Virginia",79070,8.4,6.1,12.6,10.9,14.6,18.1,10.4,11.4,3.7,3.8,46639,66597,30.3,(X),(X)
0500000US54041,"Lewis County, West Virginia",6574,10.8,7.2,10.9,14.9,14.0,17.4,10.6,8.6,2.3,3.3,39908,57301,38.2,(X),(X)
0500000US54043,"Lincoln County, West Virginia",8208,7.9,9.1,15.9,12.0,14.5,16.8,10.3,10.7,1.5,1.2,42345,54060,38.0,(X),(X)
0500000US54045,"Logan County, West Virginia",13816,14.8,7.4,12.2,14.6,11.0,16.0,9.7,10.7,2.1,1.5,36168,53008,39.2,(X),(X)
0500000US54047,"McDowell County, West Virginia",7607,15.5,9.2,19.9,18.0,15.1,9.7,7.1,3.4,0.7,1.3,27682,37916,42.4,(X),(X)
0500000US54049,"Marion County, West Virginia",22926,7.0,5.2,13.2,11.6,12.6,18.5,13.2,11.9,4.1,2.6,50305,64299,29.7,(X),(X)
0500000US54051,"Marshall County, West Virginia",12308,7.5,5.8,14.8,9.4,13.7,19.0,10.9,12.3,3.8,2.8,48557,63073,33.8,(X),(X)
0500000US54053,"Mason County, West Virginia",11034,7.6,4.8,15.2,11.6,14.0,21.0,10.6,9.4,4.4,1.4,46078,59868,51.1,(X),(X)
0500000US54055,"Mercer County, West Virginia",25216,8.9,7.7,15.4,11.9,16.1,19.0,10.3,7.6,1.7,1.5,40784,51597,39.6,(X),(X)
0500000US54057,"Mineral County, West Virginia",10916,7.0,5.0,11.0,9.8,17.3,22.2,13.6,9.5,2.3,2.5,49936,61016,36.9,(X),(X)
0500000US54059,"Mingo County, West Virginia",10501,14.4,9.5,16.6,10.9,15.5,15.1,8.9,6.4,1.4,1.3,32764,47066,53.8,(X),(X)
0500000US54061,"Monongalia County, West Virginia",39466,11.2,5.2,9.8,9.4,12.8,16.5,9.4,13.4,5.1,7.3,52455,79774,28.8,(X),(X)
0500000US54063,"Monroe County, West Virginia",5718,9.2,5.6,15.0,14.7,14.5,19.3,10.9,6.8,2.3,1.7,38540,53751,35.5,(X),(X)
0500000US54065,"Morgan County, West Virginia",7185,4.5,2.7,12.2,10.9,18.7,17.2,14.3,14.9,2.7,2.0,51745,67986,33.4,(X),(X)
0500000US54067,"Nicholas County, West Virginia",10069,8.0,8.0,16.6,10.7,18.5,16.3,9.8,7.2,3.1,1.8,40086,53287,26.7,(X),(X)
0500000US54069,"Ohio County, West Virginia",17193,8.8,5.6,10.7,9.5,14.9,16.2,12.0,12.3,5.3,4.8,50584,75415,32.9,(X),(X)
0500000US54071,"Pendleton County, West Virginia",3174,7.1,5.8,17.4,12.5,20.1,16.9,8.6,7.4,2.7,1.5,42312,55108,53.0,(X),(X)
0500000US54073,"Pleasants County, West Virginia",2835,5.3,4.4,11.7,11.4,14.3,15.9,16.5,13.2,4.8,2.5,56838,78502,30.5,(X),(X)
0500000US54075,"Pocahontas County, West Virginia",3530,8.1,6.3,19.1,10.1,16.0,16.8,11.2,7.9,2.9,1.6,41882,57786,26.0,(X),(X)
0500000US54077,"Preston County, West Virginia",12429,6.8,6.1,11.3,10.5,14.2,18.5,12.2,14.2,3.8,2.5,51888,65439,30.1,(X),(X)
0500000US54079,"Putnam County, West Virginia",21613,5.0,4.6,7.3,11.0,13.9,17.4,13.6,15.2,6.7,5.3,60097,80042,34.3,(X),(X)
0500000US54081,"Raleigh County, West Virginia",31203,8.2,7.0,14.9,11.4,13.5,16.4,12.1,11.6,3.1,1.9,43748,60110,34.4,(X),(X)
0500000US54083,"Randolph County, West Virginia",11135,10.7,6.2,13.2,12.1,14.6,18.9,8.8,10.0,2.5,2.9,43320,61113,32.3,(X),(X)
0500000US54085,"Ritchie County, West Virginia",4049,7.6,5.7,15.1,12.2,17.2,18.1,10.3,9.0,3.0,1.9,43577,59849,29.0,(X),(X)
0500000US54087,"Roane County, West Virginia",5562,10.0,6.4,16.9,14.0,13.5,14.8,10.9,9.2,1.6,2.7,37373,53771,33.1,(X),(X)
0500000US54089,"Summers County, West Virginia",5566,9.2,6.5,16.5,13.7,17.2,16.8,10.9,6.1,2.1,1.0,38187,48929,29.4,(X),(X)
0500000US54091,"Taylor County, West Virginia",6614,7.2,4.0,13.9,11.3,15.0,18.9,11.5,13.2,2.8,2.2,48578,61730,26.8,(X),(X)
0500000US54093,"Tucker County, West Virginia",3142,7.9,5.7,12.3,11.5,14.0,22.9,13.5,9.9,1.9,0.5,49118,56185,35.6,(X),(X)
0500000US54095,"Tyler County, West Virginia",3207,7.0,8.1,13.5,12.1,16.8,17.6,12.0,9.5,1.6,1.7,43087,60134,32.1,(X),(X)
0500000US54097,"Upshur County, West Virginia",9713,11.3,6.0,12.5,13.2,13.8,18.2,11.3,8.9,3.4,1.2,40322,57801,33.7,(X),(X)
0500000US54099,"Wayne County, West Virginia",15124,15.2,8.9,11.7,11.5,12.8,16.5,11.3,7.4,2.2,2.5,37988,53315,39.4,(X),(X)
0500000US54101,"Webster County, West Virginia",3781,12.8,10.4,16.3,10.7,13.1,18.4,8.5,6.9,1.9,1.1,34927,48138,33.1,(X),(X)
0500000US54103,"Wetzel County, West Virginia",5762,8.6,6.8,12.2,12.7,17.3,15.5,11.4,11.2,3.4,0.9,43107,55125,32.5,(X),(X)
0500000US54105,"Wirt County, West Virginia",2505,6.2,8.9,11.4,9.9,16.3,26.8,7.0,7.7,4.6,1.1,46048,54877,26.5,(X),(X)
0500000US54107,"Wood County, West Virginia",35488,8.6,6.2,11.9,11.5,14.1,17.6,11.9,11.2,3.9,3.2,47321,65002,36.4,(X),(X)
0500000US54109,"Wyoming County, West Virginia",8805,9.8,5.7,15.3,11.5,15.2,17.1,12.6,10.1,1.2,1.4,42332,55480,44.7,(X),(X)
0500000US55001,"Adams County, Wisconsin",9062,4.0,6.6,13.8,12.7,16.6,19.5,12.9,9.5,2.5,1.8,46369,59975,33.9,(X),(X)
0500000US55003,"Ashland County, Wisconsin",6565,6.6,9.5,12.9,12.9,14.0,20.0,11.1,8.7,2.3,2.0,42510,56108,33.5,(X),(X)
0500000US55005,"Barron County, Wisconsin",18907,4.5,5.8,10.8,10.0,16.1,20.6,14.0,11.8,3.7,2.8,52703,69324,25.8,(X),(X)
0500000US55007,"Bayfield County, Wisconsin",7057,5.2,4.9,10.2,10.7,12.7,21.6,15.1,12.7,4.4,2.5,56096,69327,32.5,(X),(X)
0500000US55009,"Brown County, Wisconsin",105271,4.5,3.9,8.4,9.6,13.5,18.9,14.4,16.2,5.8,4.9,62340,80768,29.6,(X),(X)
0500000US55011,"Buffalo County, Wisconsin",5772,4.6,4.7,11.0,8.5,13.9,22.7,15.2,13.1,4.0,2.4,57829,69429,37.1,(X),(X)
0500000US55013,"Burnett County, Wisconsin",7305,5.1,6.1,10.4,9.5,15.2,23.2,13.9,11.0,2.6,2.8,52672,65359,30.0,(X),(X)
0500000US55015,"Calumet County, Wisconsin",19807,3.2,3.0,6.2,8.0,11.1,17.9,15.6,23.3,7.6,4.2,75814,89724,29.4,(X),(X)
0500000US55017,"Chippewa County, Wisconsin",25601,3.8,4.2,10.0,10.0,13.3,20.4,15.3,16.1,3.5,3.5,59742,74108,27.5,(X),(X)
0500000US55019,"Clark County, Wisconsin",12791,4.3,4.8,9.4,11.8,15.3,21.5,14.6,12.1,3.5,2.7,54012,68330,35.5,(X),(X)
0500000US55021,"Columbia County, Wisconsin",24112,3.6,3.1,7.8,8.7,12.6,18.8,16.9,17.5,6.0,4.8,68005,83215,33.1,(X),(X)
0500000US55023,"Crawford County, Wisconsin",6654,5.0,5.1,12.7,11.0,15.7,19.8,13.3,10.7,3.2,3.5,50595,66507,32.8,(X),(X)
0500000US55025,"Dane County, Wisconsin",222929,4.2,3.1,6.5,7.7,11.7,17.4,14.0,18.8,8.1,8.4,73893,96542,24.3,(X),(X)
0500000US55027,"Dodge County, Wisconsin",34980,3.6,3.7,8.1,10.9,15.3,19.1,17.1,15.7,4.3,2.3,60652,73078,39.7,(X),(X)
0500000US55029,"Door County, Wisconsin",13191,3.5,3.0,7.5,11.0,13.9,22.9,13.5,14.4,5.2,5.1,61560,82134,30.8,(X),(X)
0500000US55031,"Douglas County, Wisconsin",19011,5.2,5.1,10.5,11.7,13.8,19.4,14.0,13.8,4.0,2.4,53986,67738,35.1,(X),(X)
0500000US55033,"Dunn County, Wisconsin",16859,5.2,5.0,8.7,10.8,12.3,20.5,15.2,14.8,4.5,3.0,58783,72092,27.2,(X),(X)
0500000US55035,"Eau Claire County, Wisconsin",40981,4.4,6.1,8.9,9.8,13.2,19.4,14.2,15.7,4.5,3.8,59476,75213,29.3,(X),(X)
0500000US55037,"Florence County, Wisconsin",1948,6.5,6.1,10.0,8.3,17.0,22.6,10.7,12.3,3.6,2.8,52181,70861,36.2,(X),(X)
0500000US55039,"Fond du Lac County, Wisconsin",41542,3.9,4.1,8.5,9.1,13.6,20.7,15.4,16.5,5.0,3.2,62391,76670,31.3,(X),(X)
0500000US55041,"Forest County, Wisconsin",4008,7.4,7.6,12.5,11.2,15.7,20.3,12.1,9.5,2.3,1.4,45536,57147,31.6,(X),(X)
0500000US55043,"Grant County, Wisconsin",19583,5.3,4.8,10.8,10.1,14.4,20.2,15.3,13.4,3.6,2.1,54800,66718,37.4,(X),(X)
0500000US55045,"Green County, Wisconsin",15047,2.8,4.0,9.3,9.0,12.9,19.6,16.2,15.8,6.1,4.4,64502,80424,27.3,(X),(X)
